Employee_ID,Name,Age,Department,Date_of_Joining,Years_of_Experience,Country,Salary,Performance_Rating
1,Matthew Hudson,50,OPERATIONS,2021-01-22,24,Vorastria,70217,Low Performers
2,Richard Arroyo,36,OPERATIONS,2021-12-19,12,Xanthoria,72990,Average Performers
3,Carol Goodwin,30,CUSTOMER SUPPORT,2010-03-11,7,Glarastan,95664,Top Performers
4,Mary Anderson,37,HR,2024-07-02,9,Hesperia,190838,High Performers
5,Joseph Wallace,33,IT,2018-05-05,7,Glarastan,304188,High Performers
6,Mary Warner,38,LOGISTICS,2011-05-19,11,Hesperia,141329,Average Performers
7,Vickie Lara,37,LEGAL,2017-10-16,13,Velronia,272640,High Performers
8,David Gray,49,OPERATIONS,2017-12-06,23,Mordalia,100813,High Performers
9,Janice Henderson,44,LOGISTICS,2016-09-18,16,Hesperia,75072,Low Performers
10,Valerie Baker,26,LEGAL,1900-01-01,0,Drivania,4200608,Low Performers
11,Dawn Guerrero,47,CUSTOMER SUPPORT,2019-08-28,20,Glarastan,116754,Low Performers
12,Kristen Sherman,41,HR,2022-02-25,15,Hesperia,105235,Low Performers
13,Mary Martin,53,LEGAL,2013-11-09,27,Tavlora,218803,Unknown
14,Michael Sullivan,39,MARKETING,2023-09-30,16,Unknown,98621,Average Performers
15,Jessica Russell,31,MARKETING,2019-06-17,5,Vorastria,109564,Low Performers
16,Unknown,49,SALES,2025-01-05,-1,Velronia,202689,Average Performers
17,Ronald Mclaughlin,46,LOGISTICS,2024-02-11,18,Zorathia,166462,Unknown
18,William Sanchez,54,SALES,2015-09-02,30,Tavlora,77168,Average Performers
19,Jose Robinson,44,LEGAL,2021-10-07,18,Drivania,100538,Average Performers
20,Gina Sellers Md,38,MARKETING,2010-03-29,16,Glarastan,120741,High Performers
21,Claire Sutton,42,LEGAL,2024-10-07,18,Unknown,363344,Average Performers
22,Jacqueline Robbins,26,FINANCE,1900-01-01,4,Vorastria,97880,High Performers
23,Taylor Jackson,40,OPERATIONS,1900-01-01,13,Vorastria,163316,Average Performers
24,Lawrence Grant,37,MARKETING,2011-10-06,12,Tavlora,215360,Average Performers
25,Angela Richards,50,CUSTOMER SUPPORT,1900-01-01,26,Velronia,139368,Average Performers
26,Kevin Sanders,47,LEGAL,2016-01-05,25,Vorastria,231935,Average Performers
27,Daniel Oneill,41,CUSTOMER SUPPORT,2021-09-03,14,Vorastria,84426,High Performers
28,Lindsey Bird,51,FINANCE,1900-01-01,24,Vorastria,171091,Top Performers
29,Christian Bowers,38,SALES,2012-06-11,13,Tavlora,168410,Low Performers
30,Nicole Perry,37,LEGAL,2024-08-18,14,Glarastan,191908,High Performers
31,Jessica Tyler,44,MARKETING,2022-03-14,-1,Hesperia,141250,Average Performers
32,Crystal Vargas,59,LEGAL,1900-01-01,32,Drivania,194954,Average Performers
33,Christine Bradshaw,38,CUSTOMER SUPPORT,2019-05-09,11,Zorathia,144143,Average Performers
34,Alexandra Roberts,52,FINANCE,2020-02-02,29,Xanthoria,210296,Average Performers
35,Brian Anderson,27,HR,2018-07-09,5,Zorathia,133899,Average Performers
36,Roy Davis,30,SALES,2019-03-08,7,Mordalia,106576,Average Performers
37,Sean Williams,36,IT,2020-12-22,14,Mordalia,209939,Average Performers
38,Erin Castro,26,IT,2012-11-24,0,Velronia,87382,Poor Performers
39,Christina Watkins,52,FINANCE,1900-01-01,30,Drivania,72915,Unknown
40,Deborah Brown,40,R&D,2010-09-01,18,Velronia,195953,High Performers
